"datetime"	"wtr_0.5"	"wtr_1.0"	"wtr_1.5"	"wtr_2.0"	"wtr_2.5"	"wtr_3.0"	"wtr_3.5"	"wtr_4.0"
"2015-07-18 06:00:00"	23.5758333333333	23.44	22.7558333333333	19.425	14.7683333333333	11.0716666666667	8.40833333333333	6.615
"2015-07-18 07:00:00"	23.4333333333333	23.425	22.7833333333333	19.385	14.83	11.0491666666667	8.40916666666667	6.61
"2015-07-18 08:00:00"	23.465	23.425	22.7458333333333	19.4475	14.8508333333333	10.9958333333333	8.32666666666667	6.58166666666667
"2015-07-18 09:00:00"	23.6333333333333	23.475	22.8041666666667	19.48	14.795	11.0091666666667	8.42416666666667	6.675
"2015-07-18 10:00:00"	23.74	23.5516666666667	22.8183333333333	19.515	14.8666666666667	11.1208333333333	8.37	6.59333333333333
"2015-07-18 11:00:00"	23.9716666666667	23.655	22.845	19.5208333333333	14.8875	11.0283333333333	8.44083333333333	6.68583333333333
"2015-07-18 12:00:00"	24.4825	23.7883333333333	22.9125	19.5575	14.8258333333333	11.1408333333333	8.41333333333333	6.58166666666667
"2015-07-18 13:00:00"	24.665	23.835	22.975	19.5575	14.8625	11.0108333333333	8.41416666666667	6.64166666666667
"2015-07-18 14:00:00"	24.9583333333333	23.99	23.0225	19.5891666666667	15.0708333333333	11.0675	8.38833333333333	6.615
"2015-07-18 15:00:00"	25.2966666666667	24.1283333333333	22.9841666666667	19.6566666666667	14.8	11.2783333333333	8.37	6.62166666666667
"2015-07-18 16:00:00"	25.6966666666667	24.19	23.0483333333333	19.75	14.8666666666667	11.1366666666667	8.3725	6.695
"2015-07-18 17:00:00"	26.2008333333333	24.2316666666667	23.0358333333333	19.4583333333333	15.1166666666667	10.8841666666667	8.52	6.64166666666667
"2015-07-18 18:00:00"	26.2641666666667	24.325	23.0158333333333	19.8075	14.8608333333333	11.2375	8.34833333333333	6.60916666666667
"2015-07-18 19:00:00"	26.2075	24.2641666666667	23.1041666666667	19.6508333333333	14.9075	10.9316666666667	8.51583333333333	6.715
"2015-07-18 20:00:00"	26.3225	24.2825	23.0783333333333	19.6033333333333	15.055	11.1858333333333	8.35166666666667	6.64083333333333
"2015-07-18 21:00:00"	26.0558333333333	24.3058333333333	23.0008333333333	19.6608333333333	14.8825	11.0991666666667	8.3775	6.66666666666667
"2015-07-18 22:00:00"	25.8441666666667	24.2841666666667	23.0366666666667	19.6775	14.8241666666667	11.1533333333333	8.4875	6.67333333333333
"2015-07-18 23:00:00"	25.6758333333333	24.3083333333333	23.0425	19.5008333333333	15.075	11.0791666666667	8.35666666666667	6.67416666666667
"2015-07-19 00:00:00"	25.2333333333333	24.2275	23.0483333333333	19.6458333333333	14.7783333333333	11.1308333333333	8.46166666666667	6.65166666666667
"2015-07-19 01:00:00"	24.9266666666667	24.6425	23.0425	19.5741666666667	15.1266666666667	11.0358333333333	8.42	6.535
"2015-07-19 02:00:00"	24.6841666666667	24.4875	23.0466666666667	19.7041666666667	14.79	11.2216666666667	8.38	6.69666666666667
"2015-07-19 03:00:00"	24.3525	24.3625	22.9325	19.6016666666667	14.835	11.1208333333333	8.38583333333333	6.7675
"2015-07-19 04:00:00"	24.0975	24.1058333333333	22.995	19.6141666666667	14.965	11.1008333333333	8.38916666666667	6.5875
"2015-07-19 05:00:00"	23.8633333333333	23.8833333333333	23	19.5458333333333	14.9133333333333	11.1391666666667	8.435	6.62083333333333
"2015-07-19 06:00:00"	23.6708333333333	23.695	23.11	19.5158333333333	14.9275	11.0525	8.4825	6.68333333333333
"2015-07-19 07:00:00"	23.62	23.615	23.0125	19.6291666666667	14.8508333333333	11.1025	8.46083333333333	6.6825
"2015-07-19 08:00:00"	23.6816666666667	23.645	23.0208333333333	19.6141666666667	14.9758333333333	11.1741666666667	8.435	6.65666666666667
"2015-07-19 09:00:00"	23.8625	23.695	23.0366666666667	19.6041666666667	14.9291666666667	11.1333333333333	8.46166666666667	6.67916666666667
"2015-07-19 10:00:00"	24.06	23.9241666666667	23.125	19.5991666666667	14.9025	11.12	8.46166666666667	6.6425
"2015-07-19 11:00:00"	24.2433333333333	24.0125	23.1566666666667	19.615	15.0266666666667	11.1058333333333	8.48083333333333	6.66666666666667
"2015-07-19 12:00:00"	24.4516666666667	24.2208333333333	23.25	19.6658333333333	14.92	11.12	8.45166666666667	6.61333333333333
"2015-07-19 13:00:00"	24.8508333333333	24.09	23.3433333333333	19.7716666666667	14.9858333333333	11.175	8.42916666666667	6.65916666666667
"2015-07-19 14:00:00"	25.2025	24.3191666666667	23.2708333333333	19.73	14.9033333333333	11.1416666666667	8.44333333333333	6.66083333333333
"2015-07-19 15:00:00"	25.3716666666667	24.6325	23.37	19.7333333333333	14.965	11.19	8.48333333333333	6.68416666666667
"2015-07-19 16:00:00"	25.5833333333333	24.6841666666667	23.3391666666667	19.7491666666667	14.9766666666667	11.1366666666667	8.40916666666667	6.61916666666667
"2015-07-19 17:00:00"	25.77	24.7308333333333	23.4558333333333	19.6483333333333	15.06	11.0516666666667	8.51083333333333	6.72166666666667
"2015-07-19 18:00:00"	25.6725	24.7875	23.4016666666667	19.8966666666667	14.9033333333333	11.2183333333333	8.40916666666667	6.66333333333333
"2015-07-19 19:00:00"	25.4783333333333	24.7883333333333	23.4116666666667	19.6208333333333	15.195	11.0041666666667	8.49416666666667	6.615
"2015-07-19 20:00:00"	25.28	24.8516666666667	23.33	19.8008333333333	14.8558333333333	11.3033333333333	8.45666666666667	6.7625
"2015-07-19 21:00:00"	25.0716666666667	24.9491666666667	23.395	19.7175	15.1066666666667	11.0575	8.49416666666667	6.64166666666667
"2015-07-19 22:00:00"	24.8525	24.8683333333333	23.3383333333333	19.8075	14.9508333333333	11.1791666666667	8.48833333333333	6.65333333333333
"2015-07-19 23:00:00"	24.6908333333333	24.7	23.38	19.6866666666667	14.98	11.1366666666667	8.49416666666667	6.67583333333333
"2015-07-20 00:00:00"	24.485	24.5075	23.3591666666667	19.7083333333333	15.065	11.1891666666667	8.46166666666667	6.68
"2015-07-20 01:00:00"	24.325	24.3466666666667	23.2725	19.7591666666667	14.9916666666667	11.1958333333333	8.41333333333333	6.695
"2015-07-20 02:00:00"	24.1391666666667	24.165	23.3333333333333	19.6025	15.0175	11.0941666666667	8.58833333333333	6.61416666666667
"2015-07-20 03:00:00"	23.98	23.99	23.3291666666667	19.7391666666667	14.94	11.235	8.4	6.695
"2015-07-20 04:00:00"	23.8516666666667	23.895	23.3241666666667	19.6975	15.0375	11.1183333333333	8.4925	6.66833333333333
"2015-07-20 05:00:00"	23.74	23.745	23.3325	19.6791666666667	14.9558333333333	11.1791666666667	8.47166666666667	6.675
"2015-07-20 06:00:00"	23.6216666666667	23.65	23.4908333333333	19.6308333333333	14.9716666666667	11.1966666666667	8.46333333333333	6.71333333333333
"2015-07-20 07:00:00"	23.615	23.61	23.5075	19.6708333333333	15.02	11.1033333333333	8.48583333333333	6.64833333333333
"2015-07-20 08:00:00"	23.6666666666667	23.63	23.4683333333333	19.7083333333333	14.925	11.2008333333333	8.40416666666667	6.64833333333333
"2015-07-20 09:00:00"	23.765	23.715	23.4583333333333	19.6975	15.0233333333333	11.1783333333333	8.5175	6.69666666666667
"2015-07-20 10:00:00"	23.9375	23.8783333333333	23.2708333333333	19.8008333333333	15.0866666666667	11.1733333333333	8.55166666666667	6.68083333333333
"2015-07-20 11:00:00"	24.165	24.0958333333333	23.4108333333333	19.7175	15.08	11.27	8.43916666666667	6.6625
"2015-07-20 12:00:00"	24.5508333333333	24.2558333333333	23.5591666666667	19.85	15.1016666666667	11.125	8.57583333333333	6.72833333333333
"2015-07-20 13:00:00"	24.855	24.3616666666667	23.685	19.8691666666667	15.0641666666667	11.2641666666667	8.49166666666667	6.6475
"2015-07-20 14:00:00"	25.0458333333333	24.715	23.7891666666667	19.89	15.1108333333333	11.2441666666667	8.52416666666667	6.71083333333333
"2015-07-20 15:00:00"	25.22	24.6525	23.7516666666667	19.8116666666667	15.1266666666667	11.2333333333333	8.54	6.69833333333333
"2015-07-20 16:00:00"	25.0966666666667	24.815	23.7125	19.9275	15.0608333333333	11.175	8.51583333333333	6.70166666666667
"2015-07-20 17:00:00"	24.985	24.8716666666667	23.74	19.8433333333333	15.1325	11.3625	8.4075	6.6775
"2015-07-20 18:00:00"	24.8725	24.895	23.6991666666667	19.885	15.1658333333333	11.1066666666667	8.59333333333333	6.7325
"2015-07-20 19:00:00"	24.7508333333333	24.7508333333333	23.7116666666667	19.8841666666667	15.0641666666667	11.2941666666667	8.5025	6.67
"2015-07-20 20:00:00"	24.53	24.5425	23.7408333333333	19.86	15.1125	11.2316666666667	8.55583333333333	6.73
"2015-07-20 21:00:00"	24.3783333333333	24.4	23.7308333333333	19.8483333333333	15.1166666666667	11.2933333333333	8.48	6.675
"2015-07-20 22:00:00"	24.2133333333333	24.235	23.7058333333333	19.8583333333333	15.0966666666667	11.2066666666667	8.5225	6.7425
"2015-07-20 23:00:00"	24.055	24.065	23.7825	19.865	15.07	11.2483333333333	8.505	6.70666666666667
"2015-07-21 00:00:00"	23.8783333333333	23.905	23.8291666666667	19.8166666666667	15.105	11.2683333333333	8.51916666666667	6.73
"2015-07-21 01:00:00"	23.6925	23.715	23.7891666666667	19.8483333333333	15.1216666666667	11.245	8.53416666666667	6.66916666666667
"2015-07-21 02:00:00"	23.51	23.5425	23.6716666666667	19.82	15.1583333333333	11.2125	8.45666666666667	6.77916666666667
"2015-07-21 03:00:00"	23.3516666666667	23.3866666666667	23.5325	19.87	15.0066666666667	11.3583333333333	8.53333333333333	6.6925
"2015-07-21 04:00:00"	23.1866666666667	23.215	23.375	19.825	15.2	11.1141666666667	8.565	6.7075
"2015-07-21 05:00:00"	23.04	23.0483333333333	23.2083333333333	19.8316666666667	15.04	11.3458333333333	8.52166666666667	6.70666666666667
"2015-07-21 06:00:00"	22.8733333333333	22.8775	23.0533333333333	19.8216666666667	15.1375	11.2116666666667	8.52416666666667	6.72833333333333
"2015-07-21 07:00:00"	22.79	22.78	22.93	19.8558333333333	15.0866666666667	11.2558333333333	8.54833333333333	6.68916666666667
"2015-07-21 08:00:00"	22.815	22.7858333333333	22.925	19.825	15.1533333333333	11.2333333333333	8.53416666666667	6.74
"2015-07-21 09:00:00"	22.9166666666667	22.8141666666667	22.89	19.8325	15.1058333333333	11.2983333333333	8.49166666666667	6.67416666666667
"2015-07-21 10:00:00"	22.9791666666667	22.95	22.9741666666667	19.9783333333333	15.1291666666667	11.185	8.55	6.74416666666667
"2015-07-21 11:00:00"	23.0975	23.01	22.9458333333333	19.8958333333333	15.175	11.3041666666667	8.53916666666667	6.6325
"2015-07-21 12:00:00"	23.28	23.095	22.9808333333333	19.8791666666667	15.1333333333333	11.2375	8.50166666666667	6.72666666666667
"2015-07-21 13:00:00"	23.5616666666667	23.235	23.025	20.0525	15.1325	11.2725	8.60916666666667	6.70833333333333
"2015-07-21 14:00:00"	23.8	23.4275	23.085	19.9375	15.1358333333333	11.3075	8.46666666666667	6.695
"2015-07-21 15:00:00"	24.0616666666667	23.6491666666667	23.15	20.1041666666667	15.1741666666667	11.295	8.5775	6.64666666666667
"2015-07-21 16:00:00"	24.3941666666667	23.68	23.2291666666667	19.9958333333333	15.1841666666667	11.3083333333333	8.5675	6.73416666666667
"2015-07-21 17:00:00"	24.52	23.8033333333333	23.1925	20.12	15.2008333333333	11.2766666666667	8.51166666666667	6.7375
"2015-07-21 18:00:00"	24.49	23.96	23.2141666666667	20.0366666666667	15.1583333333333	11.2925	8.54416666666667	6.675
"2015-07-21 19:00:00"	24.3066666666667	23.94	23.2025	20.0841666666667	15.1491666666667	11.3425	8.56083333333333	6.71666666666667
"2015-07-21 20:00:00"	24.025	23.9958333333333	23.185	20.0791666666667	15.24	11.285	8.5025	6.72833333333333
"2015-07-21 21:00:00"	23.8566666666667	23.8633333333333	23.1966666666667	20.0525	15.2108333333333	11.2675	8.5925	6.73333333333333
"2015-07-21 22:00:00"	23.6816666666667	23.7	23.19	20.0858333333333	15.1525	11.3675	8.49166666666667	6.7275
"2015-07-21 23:00:00"	23.51	23.5275	23.1916666666667	20.0308333333333	15.1991666666667	11.2708333333333	8.6	6.72333333333333
"2015-07-22 00:00:00"	23.3366666666667	23.365	23.22	20.0366666666667	15.2175	11.2666666666667	8.52166666666667	6.7275
"2015-07-22 01:00:00"	23.1816666666667	23.195	23.2791666666667	20.035	15.1566666666667	11.3841666666667	8.5025	6.7325
"2015-07-22 02:00:00"	23.03	23.0325	23.18	20.0308333333333	15.1891666666667	11.2325	8.605	6.72833333333333
"2015-07-22 03:00:00"	22.8666666666667	22.8891666666667	23.055	20.0616666666667	15.1541666666667	11.3191666666667	8.57166666666667	6.75916666666667
"2015-07-22 04:00:00"	22.75	22.7658333333333	22.92	20.015	15.1541666666667	11.3525	8.475	6.75
"2015-07-22 05:00:00"	22.6375	22.665	22.8091666666667	20.0408333333333	15.1941666666667	11.2491666666667	8.64166666666667	6.72833333333333
"2015-07-22 06:00:00"	22.54	22.5416666666667	22.7175	20.0775	15.185	11.3208333333333	8.53416666666667	6.74
"2015-07-22 07:00:00"	22.505	22.53	22.665	20.0416666666667	15.1941666666667	11.3433333333333	8.54916666666667	6.7225
"2015-07-22 08:00:00"	22.6116666666667	22.53	22.64	20.0883333333333	15.1883333333333	11.245	8.62	6.74416666666667
"2015-07-22 09:00:00"	22.73	22.5358333333333	22.64	20.0516666666667	15.1425	11.3266666666667	8.55583333333333	6.74
"2015-07-22 10:00:00"	22.9325	22.68	22.695	20.0883333333333	15.2308333333333	11.3366666666667	8.5825	6.735
"2015-07-22 11:00:00"	23.3633333333333	22.7866666666667	22.7408333333333	20.0625	15.21	11.2558333333333	8.63583333333333	6.74833333333333
"2015-07-22 12:00:00"	23.7783333333333	22.8391666666667	22.7583333333333	20.2908333333333	15.205	11.4408333333333	8.6075	6.7375
"2015-07-22 13:00:00"	24.1908333333333	23	22.79	20.145	15.2958333333333	11.3366666666667	8.5525	6.75333333333333
"2015-07-22 14:00:00"	24.3883333333333	23.095	22.85	20.1633333333333	15.2641666666667	11.37	8.67	6.73083333333333
"2015-07-22 15:00:00"	24.6533333333333	23.2	22.885	20.27	15.2558333333333	11.3083333333333	8.56583333333333	6.78
"2015-07-22 16:00:00"	24.9083333333333	23.3016666666667	22.915	20.3375	15.3075	11.3075	8.61583333333333	6.77833333333333
"2015-07-22 17:00:00"	25.165	23.39	22.95	20.2241666666667	15.31	11.43	8.5875	6.7275
"2015-07-22 18:00:00"	25.3891666666667	23.41	22.9408333333333	20.3125	15.2116666666667	11.3683333333333	8.69166666666667	6.74166666666667
"2015-07-22 19:00:00"	25.6025	23.4083333333333	22.9508333333333	20.2408333333333	15.3158333333333	11.3925	8.53916666666667	6.77333333333333
"2015-07-22 20:00:00"	25.665	23.41	22.9525	20.2358333333333	15.3075	11.3516666666667	8.70166666666667	6.7625
"2015-07-22 21:00:00"	25.4275	23.395	22.945	20.2391666666667	15.2525	11.3875	8.59416666666667	6.73083333333333
"2015-07-22 22:00:00"	25.1333333333333	23.4	22.945	20.23	15.2733333333333	11.3783333333333	8.5825	6.77833333333333
"2015-07-22 23:00:00"	24.8775	23.41	22.95	20.2291666666667	15.3083333333333	11.3783333333333	8.63583333333333	6.72916666666667
"2015-07-23 00:00:00"	24.6191666666667	23.405	22.95	20.2133333333333	15.2366666666667	11.3233333333333	8.64666666666667	6.78916666666667
"2015-07-23 01:00:00"	24.3625	23.395	22.9508333333333	20.2025	15.3275	11.3841666666667	8.61	6.76333333333333
"2015-07-23 02:00:00"	24.1558333333333	23.415	22.92	20.235	15.2641666666667	11.3683333333333	8.54416666666667	6.765
"2015-07-23 03:00:00"	23.9258333333333	23.3883333333333	22.93	20.1708333333333	15.2616666666667	11.3716666666667	8.67916666666667	6.75333333333333
"2015-07-23 04:00:00"	23.7083333333333	23.4183333333333	22.93	20.2291666666667	15.255	11.3683333333333	8.5975	6.75916666666667
"2015-07-23 05:00:00"	23.515	23.485	22.91	20.1708333333333	15.3108333333333	11.3841666666667	8.555	6.765
"2015-07-23 06:00:00"	23.3991666666667	23.4	22.91	20.21	15.2316666666667	11.3716666666667	8.63	6.74916666666667
"2015-07-23 07:00:00"	23.3758333333333	23.3466666666667	22.925	20.1683333333333	15.295	11.3458333333333	8.6475	6.76416666666667
"2015-07-23 08:00:00"	23.49	23.3683333333333	22.94	20.25	15.27	11.395	8.61416666666667	6.775
"2015-07-23 09:00:00"	23.6708333333333	23.41	22.9733333333333	20.145	15.2941666666667	11.34	8.61916666666667	6.76
"2015-07-23 10:00:00"	24.0458333333333	23.5425	22.9541666666667	20.2791666666667	15.2066666666667	11.4241666666667	8.5975	6.75416666666667
"2015-07-23 11:00:00"	24.3283333333333	23.5691666666667	23.0483333333333	20.1358333333333	15.355	11.325	8.66916666666667	6.7325
"2015-07-23 12:00:00"	24.7258333333333	23.69	23.095	20.1816666666667	15.3266666666667	11.3558333333333	8.60583333333333	6.77416666666667
"2015-07-23 13:00:00"	24.6408333333333	23.7816666666667	23.085	20.3325	15.2658333333333	11.465	8.6	6.74833333333333
"2015-07-23 14:00:00"	25.2116666666667	23.8883333333333	23.0991666666667	20.3125	15.2883333333333	11.3975	8.64166666666667	6.82083333333333
"2015-07-23 15:00:00"	25.2541666666667	23.935	23.15	20.2666666666667	15.48	11.3391666666667	8.63083333333333	6.8
"2015-07-23 16:00:00"	25.4933333333333	24.06	23.24	20.2541666666667	15.2575	11.4591666666667	8.65916666666667	6.7325
"2015-07-23 17:00:00"	25.875	24.0866666666667	23.2041666666667	20.3975	15.4025	11.3616666666667	8.64666666666667	6.81583333333333
"2015-07-23 18:00:00"	25.8166666666667	24.185	23.2233333333333	20.3283333333333	15.2808333333333	11.4775	8.55666666666667	6.73833333333333
"2015-07-23 19:00:00"	25.8958333333333	24.135	23.2016666666667	20.2291666666667	15.4533333333333	11.3033333333333	8.625	6.81166666666667
"2015-07-23 20:00:00"	26	24.1233333333333	23.2075	20.26	15.3008333333333	11.5941666666667	8.49333333333333	6.7575
"2015-07-23 21:00:00"	25.9566666666667	24.15	23.2075	20.1983333333333	15.4741666666667	11.345	8.69	6.77333333333333
"2015-07-23 22:00:00"	25.8858333333333	24.1191666666667	23.2075	20.3225	15.23	11.5066666666667	8.67	6.58166666666667
"2015-07-23 23:00:00"	25.8958333333333	24.1241666666667	23.145	20.2558333333333	15.45	11.2833333333333	8.60333333333333	6.845
"2015-07-24 00:00:00"	25.635	24.1175	23.185	20.2133333333333	15.2691666666667	11.5116666666667	8.60416666666667	6.805
"2015-07-24 01:00:00"	25.3383333333333	24.14	23.15	20.2341666666667	15.4116666666667	11.3441666666667	8.67	6.79
"2015-07-24 02:00:00"	25.0308333333333	24.1183333333333	23.18	20.1816666666667	15.3341666666667	11.5233333333333	8.65833333333333	6.71083333333333
"2015-07-24 03:00:00"	24.7841666666667	24.125	23.135	20.22	15.3616666666667	11.4033333333333	8.47166666666667	6.86
"2015-07-24 04:00:00"	24.56	24.0358333333333	23.155	20.2391666666667	15.3383333333333	11.445	8.65833333333333	6.73166666666667
"2015-07-24 05:00:00"	24.3416666666667	24.1083333333333	23.125	20.1991666666667	15.3633333333333	11.34	8.70666666666667	6.825
"2015-07-24 06:00:00"	24.1866666666667	24.075	23.145	20.1725	15.285	11.4916666666667	8.66916666666667	6.7575
"2015-07-24 07:00:00"	24.085	24.0516666666667	23.1658333333333	20.1991666666667	15.3641666666667	11.4608333333333	8.50916666666667	6.8
"2015-07-24 08:00:00"	24.075	23.9858333333333	23.15	20.1408333333333	15.3316666666667	11.4175	8.75583333333333	6.73833333333333
"2015-07-24 09:00:00"	24.1258333333333	23.925	23.1508333333333	20.1716666666667	15.325	11.5033333333333	8.5825	6.805
"2015-07-24 10:00:00"	24.12	24.0058333333333	23.155	20.13	15.4366666666667	11.34	8.6325	6.79083333333333
"2015-07-24 11:00:00"	24.225	23.985	23.2075	20.1883333333333	15.3366666666667	11.4291666666667	8.72833333333333	6.74166666666667
"2015-07-24 12:00:00"	24.3425	24.0425	23.2608333333333	20.2383333333333	15.3425	11.4508333333333	8.60916666666667	6.835
"2015-07-24 13:00:00"	24.5783333333333	24.29	23.25	20.1975	15.3733333333333	11.4191666666667	8.695	6.74333333333333
"2015-07-24 14:00:00"	24.9541666666667	24.32	23.3741666666667	20.2091666666667	15.4275	11.4541666666667	8.7075	6.82833333333333
"2015-07-24 15:00:00"	25.2233333333333	24.49	23.2508333333333	20.3075	15.4158333333333	11.5433333333333	8.69166666666667	6.7625
"2015-07-24 16:00:00"	25.3375	24.5175	23.47	20.2091666666667	15.4058333333333	11.3883333333333	8.61666666666667	6.8525
"2015-07-24 17:00:00"	25.4316666666667	24.5691666666667	23.3508333333333	20.3591666666667	15.2958333333333	11.5183333333333	8.76583333333333	6.75083333333333
"2015-07-24 18:00:00"	25.4116666666667	24.5916666666667	23.32	20.245	15.5391666666667	11.4158333333333	8.69	6.8825
"2015-07-24 19:00:00"	25.54	24.5308333333333	23.355	20.1983333333333	15.3608333333333	11.4925	8.7225	6.79
"2015-07-24 20:00:00"	25.425	24.5983333333333	23.36	20.2508333333333	15.46	11.4558333333333	8.60916666666667	6.78416666666667
"2015-07-24 21:00:00"	25.3058333333333	24.53	23.3608333333333	20.24	15.4816666666667	11.4083333333333	8.79166666666667	6.89333333333333
"2015-07-24 22:00:00"	25.2083333333333	24.5158333333333	23.34	20.3175	15.3916666666667	11.5858333333333	8.7175	6.77
"2015-07-24 23:00:00"	25.07	24.525	23.4066666666667	20.23	15.535	11.48	8.7225	6.8625
"2015-07-25 00:00:00"	24.98	24.5225	23.345	20.2725	15.4133333333333	11.5391666666667	8.7875	6.81166666666667
"2015-07-25 01:00:00"	24.8225	24.5375	23.3558333333333	20.2616666666667	15.49	11.5766666666667	8.61916666666667	6.85416666666667
"2015-07-25 02:00:00"	24.6975	24.6033333333333	23.335	20.25	15.5166666666667	11.415	8.81	6.88333333333333
"2015-07-25 03:00:00"	24.54	24.5416666666667	23.345	20.2708333333333	15.4433333333333	11.6275	8.72833333333333	6.7425
"2015-07-25 04:00:00"	24.4208333333333	24.425	23.335	20.23	15.5116666666667	11.475	8.75583333333333	6.89916666666667
"2015-07-25 05:00:00"	24.25	24.2616666666667	23.365	20.2341666666667	15.4366666666667	11.5641666666667	8.685	6.79
"2015-07-25 06:00:00"	24.1216666666667	24.1291666666667	23.3141666666667	20.25	15.485	11.4716666666667	8.7775	6.86583333333333
"2015-07-25 07:00:00"	24.1375	24.1041666666667	23.2841666666667	20.2083333333333	15.485	11.6541666666667	8.7175	6.8075
"2015-07-25 08:00:00"	24.275	24.135	23.32	20.25	15.4816666666667	11.4975	8.77666666666667	6.86083333333333
"2015-07-25 09:00:00"	24.4791666666667	24.185	23.4208333333333	20.285	15.4483333333333	11.5491666666667	8.70166666666667	6.8575
"2015-07-25 10:00:00"	24.7425	24.2941666666667	23.3866666666667	20.2191666666667	15.5083333333333	11.555	8.70083333333333	6.86166666666667
"2015-07-25 11:00:00"	25.1175	24.375	23.5616666666667	20.28	15.5533333333333	11.5175	8.75	6.83666666666667
"2015-07-25 12:00:00"	25.4625	24.495	23.4158333333333	20.3083333333333	15.4966666666667	11.5816666666667	8.7975	6.85166666666667
"2015-07-25 13:00:00"	25.6291666666667	24.6433333333333	23.5966666666667	20.4483333333333	15.5433333333333	11.6125	8.7275	6.84333333333333
"2015-07-25 14:00:00"	26.2816666666667	24.7558333333333	23.6108333333333	20.3333333333333	15.59	11.5908333333333	8.75916666666667	6.87333333333333
"2015-07-25 15:00:00"	26.4016666666667	24.8733333333333	23.6583333333333	20.365	15.67	11.6016666666667	8.76166666666667	6.82666666666667
"2015-07-25 16:00:00"	26.7166666666667	24.94	23.68	20.4325	15.505	11.6375	8.72833333333333	6.87166666666667
"2015-07-25 17:00:00"	26.9625	25.0216666666667	23.6925	20.4175	15.615	11.6383333333333	8.76083333333333	6.85666666666667
"2015-07-25 18:00:00"	27.1041666666667	25.0366666666667	23.6983333333333	20.3916666666667	15.6641666666667	11.5958333333333	8.71083333333333	6.84083333333333
"2015-07-25 19:00:00"	27.3583333333333	25.0575	23.6733333333333	20.4416666666667	15.5558333333333	11.6016666666667	8.80833333333333	6.8875
"2015-07-25 20:00:00"	27.3275	25.0416666666667	23.7525	20.3341666666667	15.5983333333333	11.6391666666667	8.69666666666667	6.89833333333333
"2015-07-25 21:00:00"	27.3166666666667	25.0591666666667	23.6608333333333	20.3475	15.6541666666667	11.5966666666667	8.81583333333333	6.835
"2015-07-25 22:00:00"	27.0516666666667	25.03	23.69	20.4025	15.55	11.6391666666667	8.7975	6.83666666666667
"2015-07-25 23:00:00"	26.7066666666667	25.04	23.6666666666667	20.3633333333333	15.6325	11.5875	8.70083333333333	6.90333333333333
"2015-07-26 00:00:00"	26.395	25.0525	23.67	20.3483333333333	15.5725	11.67	8.72666666666667	6.815
"2015-07-26 01:00:00"	26.0925	25.0583333333333	23.665	20.3633333333333	15.6375	11.5191666666667	8.8725	6.87833333333333
"2015-07-26 02:00:00"	25.8475	25.035	23.68	20.3425	15.565	11.7	8.74416666666667	6.8575
"2015-07-26 03:00:00"	25.6341666666667	25.0691666666667	23.6516666666667	20.3433333333333	15.62	11.5958333333333	8.77666666666667	6.925
"2015-07-26 04:00:00"	25.4533333333333	25.0841666666667	23.6558333333333	20.3458333333333	15.575	11.6125	8.815	6.84083333333333
"2015-07-26 05:00:00"	25.275	25.145	23.6633333333333	20.2966666666667	15.61	11.6025	8.825	6.86666666666667
"2015-07-26 06:00:00"	25.1333333333333	25.115	23.6416666666667	20.3483333333333	15.605	11.6433333333333	8.7925	6.88833333333333
"2015-07-26 07:00:00"	25.075	25.0633333333333	23.645	20.3108333333333	15.595	11.6083333333333	8.82666666666667	6.875
"2015-07-26 08:00:00"	25.2125	25.04	23.7016666666667	20.3266666666667	15.6	11.6341666666667	8.85833333333333	6.86
"2015-07-26 09:00:00"	25.33	25.0483333333333	23.6941666666667	20.3208333333333	15.5733333333333	11.6283333333333	8.74416666666667	6.8875
"2015-07-26 10:00:00"	25.4816666666667	25.1425	23.6358333333333	20.2558333333333	15.6	11.5958333333333	8.80833333333333	6.84083333333333
"2015-07-26 11:00:00"	25.875	25.28	23.7658333333333	20.4683333333333	15.5975	11.5975	8.81916666666667	6.8725
"2015-07-26 12:00:00"	26.2125	25.3258333333333	23.7825	20.375	15.6183333333333	11.6683333333333	8.81416666666667	6.88666666666667
"2015-07-26 13:00:00"	26.4425	25.45	23.7925	20.4066666666667	15.705	11.6583333333333	8.80833333333333	6.8625
"2015-07-26 14:00:00"	26.9875	25.5591666666667	23.875	20.4383333333333	15.5991666666667	11.6791666666667	8.80083333333333	6.88833333333333
"2015-07-26 15:00:00"	27.2083333333333	25.635	23.96	20.5058333333333	15.685	11.6591666666667	8.84166666666667	6.91583333333333
"2015-07-26 16:00:00"	27.5933333333333	25.7766666666667	23.9116666666667	20.4541666666667	15.6791666666667	11.68	8.8875	6.8625
"2015-07-26 17:00:00"	27.6491666666667	25.8533333333333	24.0116666666667	20.6158333333333	15.6575	11.6891666666667	8.77916666666667	6.8925
"2015-07-26 18:00:00"	27.89	25.8716666666667	23.985	20.4466666666667	15.7258333333333	11.6575	8.88333333333333	6.93583333333333
"2015-07-26 19:00:00"	27.9	25.8566666666667	23.9691666666667	20.4475	15.71	11.7008333333333	8.82916666666667	6.89916666666667
"2015-07-26 20:00:00"	27.9625	25.8566666666667	23.9658333333333	20.5516666666667	15.6625	11.71	8.78333333333333	6.92583333333333
"2015-07-26 21:00:00"	28.0616666666667	25.83	24.0008333333333	20.3866666666667	15.7608333333333	11.65	8.8775	6.88916666666667
