"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,81,85,89,9,2008-08-01,2008-08-05,2008-08-09,0.8865,1.3488,0.2517,7.9782,0.3643,0.8251,0.247,3.2791,24.2745,24.7468,0.3125,218.4703,0.1699,0.2388,"R",2008,"R_2008"
2,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0835,4.6142,1.0779,24.6681,2.5062,4.0445,1.0845,20.0497,25.1808,26.784,1.2573,201.4466,0.7781,0.9842,"R",2009,"R_2009"
3,199,201,204,6,2009-08-13,2009-08-15,2009-08-18,1.1649,1.9305,0.5222,6.9892,0.7088,1.4765,0.5245,4.2527,23.9831,24.7884,0.5612,143.8984,0.683,0.5015,"R",2009,"R_2009"
4,225,233,244,20,2010-05-18,2010-05-26,2010-06-06,3.4278,5.8361,1.6166,68.5564,2.7226,5.1117,1.6091,54.4514,21.0271,23.467,2.117,420.5421,0.6126,0.46,"R",2010,"R_2010"
5,260,261,265,6,2010-06-22,2010-06-23,2010-06-27,0.9439,1.4182,0.2723,5.6633,0.3697,0.8416,0.2728,2.2184,23.1657,23.5323,0.3407,138.9939,0.5455,0.1434,"R",2010,"R_2010"
6,272,277,281,10,2010-07-04,2010-07-09,2010-07-13,1.5828,2.4195,0.6496,15.828,0.9738,1.815,0.6513,9.738,25.0463,25.9514,0.7285,250.4627,0.3078,0.3903,"R",2010,"R_2010"
7,285,287,289,5,2010-07-17,2010-07-19,2010-07-21,0.9573,1.0876,0.1334,4.7867,0.3321,0.4622,0.1317,1.6605,24.7432,24.8769,0.1306,123.716,0.109,0.1576,"R",2010,"R_2010"
8,294,312,315,22,2010-07-26,2010-08-13,2010-08-16,1.7053,3.6881,0.9815,37.5176,1.1798,3.2342,1.0254,25.956,25.0693,26.6784,0.7956,551.5255,0.161,0.8806,"R",2010,"R_2010"
9,327,331,333,7,2010-08-28,2010-09-01,2010-09-03,1.8509,2.8211,0.8429,12.9565,1.2399,2.1962,0.8388,8.679,23.093,23.933,0.8591,161.6508,0.4691,1.0771,"R",2010,"R_2010"
10,356,360,361,6,2011-06-04,2011-06-08,2011-06-09,2.5065,4.7658,1.5492,15.039,1.8612,4.1296,1.5589,11.1672,22.0874,24.6126,1.7525,132.5245,1.0758,2.8762,"R",2011,"R_2011"
11,384,393,394,11,2011-07-02,2011-07-11,2011-07-12,1.854,2.8368,0.5247,20.3941,1.2478,2.2279,0.5242,13.7256,25.2195,26.4522,0.5398,277.414,0.1663,1.0858,"R",2011,"R_2011"
